division,crime_type,year,cases
ang mo kio police division - hougang npc,housebreaking,2024,1
ang mo kio police division - hougang npc,housebreaking,2023,5
ang mo kio police division - hougang npc,housebreaking,2022,3
ang mo kio police division - hougang npc,housebreaking,2021,4
ang mo kio police division - hougang npc,housebreaking,2020,8
ang mo kio police division - hougang npc,housebreaking,2019,8
ang mo kio police division - hougang npc,housebreaking,2018,9
ang mo kio police division - hougang npc,housebreaking,2017,4
ang mo kio police division - hougang npc,housebreaking,2016,7
ang mo kio police division - hougang npc,housebreaking,2015,10
ang mo kio police division - hougang npc,housebreaking,2014,9
ang mo kio police division - hougang npc,housebreaking,2013,15
ang mo kio police division - hougang npc,housebreaking,2012,23
ang mo kio police division - hougang npc,housebreaking,2011,23
ang mo kio police division - hougang npc,snatch theft,2024,0
ang mo kio police division - hougang npc,snatch theft,2023,2
ang mo kio police division - hougang npc,snatch theft,2022,0
ang mo kio police division - hougang npc,snatch theft,2021,0
ang mo kio police division - hougang npc,snatch theft,2020,1
ang mo kio police division - hougang npc,snatch theft,2019,0
ang mo kio police division - hougang npc,snatch theft,2018,1
ang mo kio police division - hougang npc,snatch theft,2017,3
ang mo kio police division - hougang npc,snatch theft,2016,3
ang mo kio police division - hougang npc,snatch theft,2015,7
ang mo kio police division - hougang npc,snatch theft,2014,2
ang mo kio police division - hougang npc,snatch theft,2013,5
ang mo kio police division - hougang npc,snatch theft,2012,7
ang mo kio police division - hougang npc,snatch theft,2011,13
ang mo kio police division - hougang npc,theft of motor vehicle,2024,1
ang mo kio police division - hougang npc,theft of motor vehicle,2023,2
ang mo kio police division - hougang npc,theft of motor vehicle,2022,5
ang mo kio police division - hougang npc,theft of motor vehicle,2021,5
ang mo kio police division - hougang npc,theft of motor vehicle,2020,2
ang mo kio police division - hougang npc,theft of motor vehicle,2019,2
ang mo kio police division - hougang npc,theft of motor vehicle,2018,1
ang mo kio police division - hougang npc,theft of motor vehicle,2017,4
ang mo kio police division - hougang npc,theft of motor vehicle,2016,10
ang mo kio police division - hougang npc,theft of motor vehicle,2015,21
ang mo kio police division - hougang npc,theft of motor vehicle,2014,9
ang mo kio police division - hougang npc,theft of motor vehicle,2013,17
ang mo kio police division - hougang npc,theft of motor vehicle,2012,30
ang mo kio police division - hougang npc,theft of motor vehicle,2011,28
ang mo kio police division - hougang npc,outrage of modesty,2024,22
ang mo kio police division - hougang npc,outrage of modesty,2023,38
ang mo kio police division - hougang npc,outrage of modesty,2022,59
ang mo kio police division - hougang npc,outrage of modesty,2021,48
ang mo kio police division - hougang npc,outrage of modesty,2020,38
ang mo kio police division - hougang npc,outrage of modesty,2019,59
ang mo kio police division - hougang npc,outrage of modesty,2018,52
ang mo kio police division - hougang npc,outrage of modesty,2017,43
ang mo kio police division - hougang npc,outrage of modesty,2016,39
ang mo kio police division - hougang npc,outrage of modesty,2015,53
ang mo kio police division - hougang npc,outrage of modesty,2014,32
ang mo kio police division - hougang npc,outrage of modesty,2013,37
ang mo kio police division - hougang npc,outrage of modesty,2012,48
ang mo kio police division - hougang npc,outrage of modesty,2011,55
ang mo kio police division - punggol npc,robbery,2024,1
ang mo kio police division - punggol npc,robbery,2023,2
ang mo kio police division - punggol npc,robbery,2022,0
ang mo kio police division - punggol npc,robbery,2021,1
ang mo kio police division - punggol npc,robbery,2020,2
ang mo kio police division - punggol npc,robbery,2019,2
ang mo kio police division - punggol npc,robbery,2018,3
ang mo kio police division - punggol npc,robbery,2017,2
ang mo kio police division - punggol npc,robbery,2016,2
ang mo kio police division - punggol npc,robbery,2015,1
ang mo kio police division - punggol npc,robbery,2014,0
ang mo kio police division - punggol npc,robbery,2013,2
ang mo kio police division - punggol npc,robbery,2012,0
ang mo kio police division - punggol npc,robbery,2011,0
ang mo kio police division - punggol npc,housebreaking,2024,4
ang mo kio police division - punggol npc,housebreaking,2023,1
ang mo kio police division - punggol npc,housebreaking,2022,1
ang mo kio police division - punggol npc,housebreaking,2021,2
ang mo kio police division - punggol npc,housebreaking,2020,5
ang mo kio police division - punggol npc,housebreaking,2019,9
ang mo kio police division - punggol npc,housebreaking,2018,5
ang mo kio police division - punggol npc,housebreaking,2017,3
ang mo kio police division - punggol npc,housebreaking,2016,6
ang mo kio police division - punggol npc,housebreaking,2015,1
ang mo kio police division - punggol npc,housebreaking,2014,1
ang mo kio police division - punggol npc,housebreaking,2013,1
ang mo kio police division - punggol npc,housebreaking,2012,0
ang mo kio police division - punggol npc,housebreaking,2011,0
ang mo kio police division - punggol npc,snatch theft,2024,0
ang mo kio police division - punggol npc,snatch theft,2023,0
ang mo kio police division - punggol npc,snatch theft,2022,0
ang mo kio police division - punggol npc,snatch theft,2021,0
ang mo kio police division - punggol npc,snatch theft,2020,1
ang mo kio police division - punggol npc,snatch theft,2019,1
ang mo kio police division - punggol npc,snatch theft,2018,1
ang mo kio police division - punggol npc,snatch theft,2017,1
ang mo kio police division - punggol npc,snatch theft,2016,0
ang mo kio police division - punggol npc,snatch theft,2015,1
ang mo kio police division - punggol npc,snatch theft,2014,1
ang mo kio police division - punggol npc,snatch theft,2013,0
ang mo kio police division - punggol npc,snatch theft,2012,0
ang mo kio police division - punggol npc,snatch theft,2011,0
ang mo kio police division - punggol npc,theft of motor vehicle,2024,6
ang mo kio police division - punggol npc,theft of motor vehicle,2023,1
ang mo kio police division - punggol npc,theft of motor vehicle,2022,8
ang mo kio police division - punggol npc,theft of motor vehicle,2021,2
ang mo kio police division - punggol npc,theft of motor vehicle,2020,2
ang mo kio police division - punggol npc,theft of motor vehicle,2019,2
ang mo kio police division - punggol npc,theft of motor vehicle,2018,1
ang mo kio police division - punggol npc,theft of motor vehicle,2017,3
ang mo kio police division - punggol npc,theft of motor vehicle,2016,0
ang mo kio police division - punggol npc,theft of motor vehicle,2015,3
ang mo kio police division - punggol npc,theft of motor vehicle,2014,5
ang mo kio police division - punggol npc,theft of motor vehicle,2013,5
ang mo kio police division - punggol npc,theft of motor vehicle,2012,0
ang mo kio police division - punggol npc,theft of motor vehicle,2011,0
ang mo kio police division - punggol npc,outrage of modesty,2024,45
ang mo kio police division - punggol npc,outrage of modesty,2023,35
ang mo kio police division - punggol npc,outrage of modesty,2022,42
ang mo kio police division - punggol npc,outrage of modesty,2021,39
ang mo kio police division - punggol npc,outrage of modesty,2020,33
ang mo kio police division - punggol npc,outrage of modesty,2019,39
ang mo kio police division - punggol npc,outrage of modesty,2018,23
ang mo kio police division - punggol npc,outrage of modesty,2017,21
ang mo kio police division - punggol npc,outrage of modesty,2016,25
ang mo kio police division - punggol npc,outrage of modesty,2015,19
ang mo kio police division - punggol npc,outrage of modesty,2014,7
ang mo kio police division - punggol npc,outrage of modesty,2013,12
ang mo kio police division - punggol npc,outrage of modesty,2012,0
ang mo kio police division - punggol npc,outrage of modesty,2011,0
ang mo kio police division - sembawang npc,robbery,2024,0
ang mo kio police division - sembawang npc,robbery,2023,0
ang mo kio police division - sembawang npc,robbery,2022,0
ang mo kio police division - sembawang npc,robbery,2021,0
ang mo kio police division - sembawang npc,robbery,2020,0
ang mo kio police division - sembawang npc,robbery,2019,0
ang mo kio police division - sembawang npc,robbery,2018,0
ang mo kio police division - sembawang npc,robbery,2017,1
ang mo kio police division - sembawang npc,robbery,2016,0
ang mo kio police division - sembawang npc,robbery,2015,1
ang mo kio police division - sembawang npc,robbery,2014,8
ang mo kio police division - sembawang npc,robbery,2013,3
ang mo kio police division - sembawang npc,robbery,2012,5
ang mo kio police division - sembawang npc,robbery,2011,6
ang mo kio police division - sembawang npc,housebreaking,2024,0
ang mo kio police division - sembawang npc,housebreaking,2023,0
ang mo kio police division - sembawang npc,housebreaking,2022,0
ang mo kio police division - sembawang npc,housebreaking,2021,0
ang mo kio police division - sembawang npc,housebreaking,2020,0
ang mo kio police division - sembawang npc,housebreaking,2019,0
ang mo kio police division - sembawang npc,housebreaking,2018,4
ang mo kio police division - sembawang npc,housebreaking,2017,0
ang mo kio police division - sembawang npc,housebreaking,2016,5
ang mo kio police division - sembawang npc,housebreaking,2015,0
ang mo kio police division - sembawang npc,housebreaking,2014,2
ang mo kio police division - sembawang npc,housebreaking,2013,2
ang mo kio police division - sembawang npc,housebreaking,2012,12
ang mo kio police division - sembawang npc,housebreaking,2011,4
ang mo kio police division - sembawang npc,snatch theft,2024,0
ang mo kio police division - sembawang npc,snatch theft,2023,0
ang mo kio police division - sembawang npc,snatch theft,2022,0
ang mo kio police division - sembawang npc,snatch theft,2021,0
ang mo kio police division - sembawang npc,snatch theft,2020,0
ang mo kio police division - sembawang npc,snatch theft,2019,0
ang mo kio police division - sembawang npc,snatch theft,2018,0
ang mo kio police division - sembawang npc,snatch theft,2017,1
ang mo kio police division - sembawang npc,snatch theft,2016,0
ang mo kio police division - sembawang npc,snatch theft,2015,1
ang mo kio police division - sembawang npc,snatch theft,2014,2
ang mo kio police division - sembawang npc,snatch theft,2013,1
